Topic,Count,Percentage,Topic Label (to be filled in by reviewer),Representation,KeyBERTInspired,PartOfSpeech,MaximalMarginalRelevance,Top Documents,quick fix,slow fix,hot topic,first time,easy fix,hard fix,reason,result type,answer,phase,user/developer,related tools,Kadiray,Miao,agree
27,117,0.008787742226,Memory,"['memory', 'byte', '19 step', '10 19', '15 10', 'step 15', 'allow memory', '15', 'memory size', 'exhaust']","['memory error', 'memory_limit', 'memory limit', 'excessive memory', 'allow memory', 'process error', 'allocate byte', 'limit memory', 'configure memory', 'increase memory']","['memory', 'byte', 'exhaust', 'byte exhaust', 'byte line', 'allocate', 'limit', 'size', 'fatal error', 'fatal']","['memory', 'byte', 'allow memory', 'memory size', 'byte exhaust', 'allocate byte', 'size byte', 'memory limit', 'byte line', 'memory consumption']","https://github.com/phpstan/phpstan/issues/2694
https://github.com/phpstan/phpstan/issues/4682
https://github.com/phpstan/phpstan/issues/11027
https://github.com/phpstan/phpstan/issues/8376
https://github.com/phpstan/phpstan/issues/6740",52,11,47,1,2,0,,,,,,"phpstan/phpstan (98)
soot-oss/soot (5)
spotbugs/spotbugs (3)
facebook/infer (3)
diffblue/cbmc (3)
secure-software-engineering/FlowDroid (2)
opalj/opal (1)
pmd/pmd (1)
wala/WALA (1)",Performance (memory),Memory consumption bugs,Y
28,105,0.007886435331,Callables,"['callable', 'callback', 'expect callable', 'expect', 'call_user_func', 'is_callable', 'snippet', 'snippet reproduce', 'reproduce problem', 'expect output']","['expect callable', 'expect output', 'call_user_func expect', 'report is_callable', 'problem expect', 'report callable', 'callable report', 'callable correctly', 'callable give', 'pass callable']","['callable', 'callback', 'call_user_func', 'is_callable', 'callable report', 'snippet', 'tax', 'problem', 'reproduce', 'impl']","['callable', 'expect callable', 'call_user_func', 'is_callable', 'expect', 'callable report', 'expect output', 'callable mixed', 'problem expect', 'call_user_func expect']","https://github.com/phpstan/phpstan/issues/4438
https://github.com/phpstan/phpstan/issues/152
https://github.com/phpstan/phpstan/issues/1358
https://github.com/phpstan/phpstan/issues/8903
https://github.com/phpstan/phpstan/issues/3818",48,10,36,0,0,0,,,,,,"phpstan/phpstan (102)
spotbugs/spotbugs (2)
secure-software-engineering/phasar (1)",Handling callables,Errors in handling callables ,Y
29,120,0.00901306895,Parsing Errors,"['file line', 'live', 'file', 'folder', 'sourcefile', 'line', 'live parent', 'parent folder', 'file live', 'live folder']","['unknown locale', 'locale utf', 'locale', 'error file', 'valueerror unknown', 'lexical error', 'util file', 'line inferlib', 'language no_trimming', 'parse error']","['file', 'line', 'lexical', 'token', 'token recognition', 'recognition', 'lexical error', 'column', 'unicode', 'locale']","['file line', 'file', 'token recognition', 'recognition error', 'utf', 'lexical error', 'unicode', 'line file', 'dm_default_encoding', 'util file']","https://github.com/pmd/pmd/issues/4941
https://github.com/pmd/pmd/issues/5333
https://github.com/pmd/pmd/issues/2815
https://github.com/pmd/pmd/issues/1830
https://github.com/pmd/pmd/issues/2615",29,21,13,3,17,11,,,,,,"pmd/pmd (52)
facebook/infer (15)
scottrogowski/code2flow (12)
spotbugs/spotbugs (10)
diffblue/cbmc (7)
phpstan/phpstan (6)
vitsalis/PyCG (6)
secure-software-engineering/FlowDroid (3)
soot-oss/SootUp (3)
soot-oss/soot (3)
cs-au-dk/TAJS (1)
wala/WALA (1)
opalj/opal (1)","Parsing errors
(parsing input, but compilation error of the tool itself)",Lexical/parsing errors (not sure about this),Y
30,87,0.006534474989,Property,"['readonly', 'readonly property', 'property', 'constructor', 'read', 'uninitialized', 'uninitialized readonly', 'access uninitialized', 'access', 'assign']","['uninitialized readonly', 'uninitialized property', 'readonly property', 'property read', 'assign readonly', 'constructor readonly', 'error readonly', 'read property', 'report readonly', 'property error']","['readonly', 'readonly property', 'property', 'constructor', 'uninitialized', 'read', 'assign', 'access', 'write', 'outside constructor']","['readonly property', 'property', 'uninitialized', 'uninitialized readonly', 'access uninitialized', 'property assign', 'property read', 'outside constructor', 'expect output', 'property report']","https://github.com/phpstan/phpstan/issues/8771
https://github.com/phpstan/phpstan/issues/1537
https://github.com/spotbugs/spotbugs/issues/2965
https://github.com/phpstan/phpstan/issues/6402
https://github.com/phpstan/phpstan/issues/7816",34,11,21,0,0,0,,,,,,"phpstan/phpstan (80)
spotbugs/spotbugs (4)
pmd/pmd (1)
diffblue/cbmc (1)
security-code-scan/security-code-scan (1)",Readonly properties,Readonly property handling issues,Y
31,74,0.005558059186,Unable to summarize a topic,"['assemblyname', 'assemblyname assemblyname', 'cultureneutral', 'visual', 'visual studio', 'studio', 'analyzer', 'yamldotnet version11', 'yamldotnet', 'version11 cultureneutral']","['vs2019', 'dotnet core', 'visual studio', 'tool dotnet', 'branch vs2019', 'assembly yamldotnet', 'msbuild', 'dotnet', 'extension nuget', 'environment version']","['assemblyname', 'assemblyname assemblyname', 'cultureneutral', 'visual', 'visual studio', 'studio', 'analyzer', 'yamldotnet', 'tool', 'nuget']","['assemblyname', 'assemblyname assemblyname', 'visual studio', 'yamldotnet version11', 'version11 cultureneutral', 'dotnet', 'system find', 'assembly', 'file assembly', 'standalone tool']","https://github.com/security-code-scan/security-code-scan/issues/74
https://github.com/security-code-scan/security-code-scan/issues/218
https://github.com/security-code-scan/security-code-scan/issues/211
https://github.com/security-code-scan/security-code-scan/issues/264
https://github.com/security-code-scan/security-code-scan/issues/282",14,6,14,0,3,0,,,,,,"security-code-scan/security-code-scan (72)
diffblue/cbmc (2)",Unable to summarize a topic,Unable to summarize a topic,Y
32,74,0.005558059186,Unable to summarize a topic,"['idea', 'intellij', 'resource find', 'intellij idea', 'intellij plugin', 'infos intellij', 'product infos', 'idea idea', 'server jetbrains', 'idea intellij']","['infos intellij', 'idea intellij', 'intellij', 'intellij plugin', 'intellij idea', 'jetbrains ioexception', 'resource find', 'find resource', 'build iu', 'idea build']","['idea', 'infos', 'jetbrains', 'jre', 'product', 'resource', 'server', 'bit', 'ioexception', 'cause']","['intellij', 'intellij idea', 'intellij plugin', 'infos intellij', 'idea build', 'server jetbrains', 'idea intellij', 'jvm openjdk', 'build iu', 'openjdk']","https://github.com/spotbugs/spotbugs/issues/993
https://github.com/spotbugs/spotbugs/issues/1559
https://github.com/spotbugs/spotbugs/issues/2763
https://github.com/spotbugs/spotbugs/issues/1562
https://github.com/spotbugs/spotbugs/issues/2198",27,9,20,1,1,0,,,,,,"spotbugs/spotbugs (70)
soot-oss/soot (2)
pmd/pmd (1)
phpstan/phpstan (1)",Unable to summarize a topic,Unable to summarize a topic,Y
33,84,0.006309148265,Unable to summarize a topic,"['objectclosure', 'objectclosure objectclosure', 'objectclosure array', 'array objectclosure', 'array array', 'array', 'internal error', 'internal', 'error internal', 'arraytype']","['array objectclosure', 'objectclosure array', 'objectclosure objectclosure', 'objectclosure', 'error internal', 'internal error', 'severe error', 'error run', 'error', 'process error']","['objectclosure', 'array', 'internal error', 'internal', 'error', 'trace', 'stack', 'post', 'page', 'response']","['objectclosure', 'objectclosure objectclosure', 'objectclosure array', 'array objectclosure', 'internal error', 'error internal', 'trace objectclosure', 'error exit', 'array child', 'error find']","https://github.com/phpstan/phpstan/issues/8336
https://github.com/phpstan/phpstan/issues/8747
https://github.com/phpstan/phpstan/issues/12164
https://github.com/phpstan/phpstan/issues/11286
https://github.com/phpstan/phpstan/issues/9520",58,1,17,0,0,0,,,,,,"phpstan/phpstan (83)
pmd/pmd (1)",Internal error,Unable to summarize a topic,Y
34,161,0.01209253417,Generic Types,"['generic', 'snippet', 'expect', 'snippet reproduce', 'reproduce problem', 'code snippet', 'expect output', 'problem expect', 'output', 'report']","['report generic', 'generics report', 'generic report', 'error generic', 'response generic', 'problem expect', 'resolve generic', 'response generics', 'expect output', 'positive generic']","['generic', 'generics', 'generic report', 'reproduce', 'output', 'problem', 'today', 'report', 'typehint', 'help']","['generic', 'generics', 'reproduce problem', 'problem expect', 'snippet reproduce', 'expect output', 'generic report', 'expect', 'typehint', 'output error']","https://github.com/wala/WALA/issues/67
https://github.com/phpstan/phpstan/issues/3136
https://github.com/phpstan/phpstan/issues/5523
https://github.com/phpstan/phpstan/issues/10364
https://github.com/phpstan/phpstan/issues/11130",69,22,59,0,1,1,,,,,,"phpstan/phpstan (152)
soot-oss/soot (2)
soot-oss/SootUp (2)
spotbugs/spotbugs (1)
wala/WALA (1)
pmd/pmd (1)
secure-software-engineering/FlowDroid (1)
diffblue/cbmc (1)",Handling Generics ,Generic and union type handling errors,Y
35,71,0.005332732462,Parsing Errors,"['quotesno', 'quotesno column', 'single quotesno', 'literal single', 'column', 'literal', 'select', 'single', 'plsql', 'column literal']","['plsql parseexception', 'plsql parse', 'error parse', 'parse exception', 'parseexception parse', 'pl sql', 'miss syntax', 'parseexception', 'syntax error', 'plsql']","['quotesno column', 'quotesno', 'column', 'literal', 'select', 'single', 'plsql', 'parse', 'syntax', 'parseexception']","['quotesno', 'quotesno column', 'single quotesno', 'plsql', 'column literal', 'syntax error', 'syntax', 'parse exception', 'sql', 'column expect']","https://github.com/pmd/pmd/issues/1588
https://github.com/pmd/pmd/issues/3746
https://github.com/pmd/pmd/issues/3106
https://github.com/pmd/pmd/issues/1526
https://github.com/pmd/pmd/issues/1850",2,7,5,0,2,11,,,,,,"pmd/pmd (66)
wala/WALA (2)
secure-software-engineering/phasar (1)
soot-oss/soot (1)
phpstan/phpstan (1)",Parsing errors (PLSQL),PLSQL specific issues,Y
36,247,0.01855190026,Unused Imports,"['rule', 'positive', 'code sample', 'sample', 'demonstrate issue', 'sample demonstrate', 'demonstrate', 'affects version', 'affects', 'description']","['maven unusedprivatemethod', 'unusedprivatemethod positive', 'rule unusedprivatemethod', 'unusedprivatemethod', 'unused code', 'violation line', 'version rule', 'unusedimports', 'report unused', 'unused run']","['unusedprivatemethod', 'unused', 'positive', 'rule', 'maven', 'sample', 'violation', 'outcome', 'description', 'demonstrate']","['unusedprivatemethod', 'maven', 'affects version', 'version rule', 'unusedprivatemethod positive', 'rule description', 'run maven', 'positive run', 'violation line', 'outcome report']","https://github.com/pmd/pmd/issues/5047
https://github.com/pmd/pmd/issues/4107
https://github.com/pmd/pmd/issues/3132
https://github.com/pmd/pmd/issues/4812
https://github.com/pmd/pmd/issues/4271",40,61,70,0,12,31,,,,,,"pmd/pmd (229)
spotbugs/spotbugs (7)
phpstan/phpstan (5)
soot-oss/SootUp (4)
wala/WALA (1)
soot-oss/soot (1)",False Positive Report (for unusued imports),False Positives in Import and Usage Detection,Y
37,104,0.007811326423,Speed,"['gemeinde', 'gemarkung', 'd_code country', 'd_code', 'country array', 'country', 'gemarkung gemeinde', 'array code', 'new gemeinde', 'new']","['slow analysis', 'output fast', 'performance regression', 'analyse', 'performance issue', 'array code', 'check data', 'analysis time', 'slowdown', 'analyze']","['country', 'array', 'take', 'slow', 'time', 'code', 'performance', 'minute', 'analysis', 'second']","['d_code country', 'd_code', 'country array', 'array code', 'array', 'code', 'performance', 'check data', 'slowdown', 'constant in_array']","https://github.com/phpstan/phpstan/issues/11263
https://github.com/diffblue/cbmc/issues/8617
https://github.com/phpstan/phpstan/issues/11979
https://github.com/phpstan/phpstan/issues/12661
https://github.com/phpstan/phpstan/issues/7925",29,10,41,0,0,3,,,,,,"phpstan/phpstan (68)
diffblue/cbmc (14)
facebook/infer (6)
soot-oss/soot (5)
pmd/pmd (4)
spotbugs/spotbugs (2)
opalj/opal (1)
yanniss/doop-deprecated (1)
wala/WALA (1)
scottrogowski/code2flow (1)
secure-software-engineering/FlowDroid (1)",Performance,Slow analysis (performance issue),Y
38,100,0.007510890792,Loops,"['loop', 'define', 'code', 'statement', 'report', 'unreachable', 'condition', 'undefined', 'loop report', 'inside loop']","['loop report', 'report loop', 'error loop', 'loop error', 'loop exit', 'expect output', 'loop code', 'define loop', 'problem expect', 'output error']","['loop', 'code', 'report', 'statement', 'unreachable', 'terminate', 'condition', 'unreachable statement', 'snippet', 'infinite']","['loop', 'inside loop', 'loop report', 'loop condition', 'expect output', 'problem expect', 'statement code', 'code terminate', 'output error', 'define loop']","https://github.com/phpstan/phpstan/issues/6595
https://github.com/phpstan/phpstan/issues/11820
https://github.com/phpstan/phpstan/issues/4666
https://github.com/phpstan/phpstan/issues/11872
https://github.com/phpstan/phpstan/issues/2805",29,24,33,0,3,0,,,,,,"phpstan/phpstan (95)
diffblue/cbmc (2)
arguslab/Argus-SAF (1)
pmd/pmd (1)
spotbugs/spotbugs (1)",Handling loops,Errors in handling loops,Y
39,97,0.007285564068,Test Suites,"['junit', 'test', 'rule', 'junit test', 'sample', 'code sample', 'description', 'sample demonstrate', 'demonstrate', 'demonstrate issue']","['junit assertion', 'junit test', 'junit5 test', 'junit rule', 'junit testng', 'junit5testpattern', 'description junit', 'junit formatter', 'positive junit', 'junit5']","['junit', 'test', 'rule', 'junit5', 'sample', 'description', 'demonstrate', 'gradle', 'assertthat', 'parameterizedtest']","['junit', 'junit test', 'junit5', 'gradle', 'version rule', 'parameterizedtest', 'test test', 'testcase', 'testng', 'assertion message']","https://github.com/pmd/pmd/issues/1175
https://github.com/pmd/pmd/issues/4272
https://github.com/pmd/pmd/issues/4765
https://github.com/pmd/pmd/issues/940
https://github.com/pmd/pmd/issues/4532",10,33,26,1,8,9,,,,,,"pmd/pmd (78)
spotbugs/spotbugs (10)
wala/WALA (3)
phpstan/phpstan (2)
soot-oss/soot (1)
diffblue/cbmc (1)
arguslab/Argus-SAF (1)
soot-oss/SootUp (1)",Tests,Test suites,Y
40,118,0.008862851134,"Array Handling
Type Inference","['shape', 'array shape', 'array', 'optional', 'key', 'typeparam', 'bool', 'code snippet', 'snippet reproduce', 'reproduce problem']","['shape array', 'array shape', 'array report', 'shaped array', 'report array', 'error array', 'array pass', 'shape error', 'output array', 'array']","['shape', 'array', 'bool', 'optional', 'snippet', 'output', 'report', 'reproduce', 'today', 'happy']","['array shape', 'array', 'shape report', 'expect output', 'code snippet', 'expect', 'problem expect', 'snippet reproduce', 'shape array', 'output error']","https://github.com/phpstan/phpstan/issues/10310
https://github.com/phpstan/phpstan/issues/13061
https://github.com/phpstan/phpstan/issues/4560
https://github.com/phpstan/phpstan/issues/6383
https://github.com/phpstan/phpstan/issues/6286",33,19,44,2,0,0,,,,,,"phpstan/phpstan (116)
wala/WALA (1)
pmd/pmd (1)",Array shape related,Errors in array shape analysis,Y
41,111,0.008337088779,IDE Plugin,"['eclipse', 'plugin', 'eclipse plugin', 'project', 'findbug', 'bundle', 'findbugs', 'detector', 'plug', 'load start']","['plugin eclipse', 'eclipse plug', 'eclipse plugin', 'eclipseplugin', 'issue eclipse', 'project eclipse', 'eclipse project', 'build eclipse', 'version eclipse', 'install eclipse']","['eclipse', 'plugin', 'bundle', 'plug', 'activator', 'project', 'findbugs', 'detector', 'load', 'eclipse plug']","['eclipse', 'eclipse plugin', 'start activator', 'findbugs', 'extension point', 'eclipse plug', 'findbugs plugin', 'project eclipse', 'eclipse version', 'findbug']","https://github.com/spotbugs/spotbugs/issues/201
https://github.com/spotbugs/spotbugs/issues/2327
https://github.com/spotbugs/spotbugs/issues/1290
https://github.com/soot-oss/soot/issues/1359
https://github.com/spotbugs/spotbugs/issues/478",26,19,31,1,10,3,,,,,,"spotbugs/spotbugs (86)
soot-oss/soot (8)
pmd/pmd (7)
wala/WALA (3)
opalj/opal (1)
facebook/infer (1)
soot-oss/SootUp (1)
scottrogowski/code2flow (1)
diffblue/cbmc (1)
phpstan/phpstan (1)
cs-au-dk/TAJS (1)",IDE Plugin,IDE plugin issues (Eclipse),Y
42,135,0.01013970257,Constants,"['constant', 'define', 'constant define', 'undefined', 'docblock', 'problem', 'expect output', 'output', 'snippet', 'code snippet']","['report constant', 'constant report', 'constant error', 'error constant', 'output constant', 'ignore constant', 'constant define', 'define constant', 'constant constant', 'expect constant']","['constant', 'define', 'pi', 'constant value', 'math', 'constant define', 'value', 'constant find', 'predefine', 'rough value']","['constant', 'constant value', 'constant define', 'math pi', 'constant find', 'error constant', 'constant report', 'find constant', 'report constant', 'pi find']","https://github.com/phpstan/phpstan/issues/2960
https://github.com/phpstan/phpstan/issues/2044
https://github.com/phpstan/phpstan/issues/9564
https://github.com/phpstan/phpstan/issues/814
https://github.com/phpstan/phpstan/issues/6577",61,15,39,1,2,1,,,,,,"phpstan/phpstan (124)
spotbugs/spotbugs (3)
wala/WALA (2)
pmd/pmd (2)
diffblue/cbmc (1)
secure-software-engineering/phasar (1)
soot-oss/SootUp (1)
security-code-scan/security-code-scan (1)",Handling constants,Errors in handling constant type,Y
43,138,0.01036502929,Stubs Related,"['stub', 'redis', 'stub file', 'phpstorm', 'report', 'expect', 'output', 'reproduce', 'expect output', 'snippet']","['stub file', 'error stub', 'stub phpdoc', 'phpdoc stub', 'ignore stub', 'extension stub', 'stub declare', 'stub report', 'provide stub', 'report stub']","['stub', 'phpstorm', 'stubfile', 'extension', 'couchbase_v3', 'file', 'report', 'real', 'error', 'phpdoc']","['stub', 'stub file', 'phpstorm', 'stubfile', 'couchbase_v3', 'phpstorm stub', 'phpdoc', 'error stub', 'stub report', 'couchbase']","https://github.com/phpstan/phpstan/issues/12826
https://github.com/phpstan/phpstan/issues/5460
https://github.com/phpstan/phpstan/issues/8481
https://github.com/phpstan/phpstan/issues/3184
https://github.com/phpstan/phpstan/issues/7461",71,8,45,1,0,0,,,,,,phpstan/phpstan (138),Stubs related,Limitations in handing stubs (PHP specific),Y
44,71,0.005332732462,Documentation,"['link', 'onvif', 'bm', 'page', 'download', 'broken', 'http', 'broken link', 'connect', 'doc']","['broken link', 'page broken', 'link page', 'page link', 'hyperlink', 'link work', 'find link', 'site link', 'documentation link', 'link site']","['link', 'onvif', 'bm', 'page', 'broken', 'broken link', 'connect', 'download', 'documentation', 'undefined reference']","['onvif', 'broken link', 'reference hqputmutexleave', 'link link', 'link wiki', 'page link', 'link page', 'redirect', 'code mirror', 'onvif onvif']","https://github.com/pmd/pmd/issues/2002
https://github.com/soot-oss/soot/issues/827
https://github.com/diffblue/cbmc/issues/7450
https://github.com/soot-oss/soot/issues/2073
https://github.com/facebook/infer/issues/1566",29,8,12,0,9,1,,,,,,"pmd/pmd (20)
facebook/infer (12)
spotbugs/spotbugs (10)
phpstan/phpstan (9)
soot-oss/soot (8)
diffblue/cbmc (5)
soot-oss/SootUp (3)
wala/WALA (2)
vitsalis/PyCG (1)
opalj/opal (1)",Broken links - outdated documentation,Documentation,Y
45,86,0.006459366081,Unable to summarize a topic,"['match', 'match expression', 'expression', 'remain value', 'handle remain', 'expression handle', 'remain', 'handle', 'value', 'positive match']","['error match', 'report match', 'match statement', 'problem match', 'output match', 'match report', 'match code', 'value match', 'assign match', 'match expression']","['match', 'expression', 'handle', 'value', 'arm', 'positive match', 'help', 'happy', 'snippet', 'today']","['match expression', 'expression', 'expression handle', 'response match', 'positive match', 'match statement', 'problem expect', 'expect output', 'match report', 'error match']","https://github.com/spotbugs/spotbugs/issues/632
https://github.com/phpstan/phpstan/issues/6064
https://github.com/phpstan/phpstan/issues/12366
https://github.com/phpstan/phpstan/issues/8486
https://github.com/phpstan/phpstan/issues/4206",28,13,29,0,1,0,,,,,,"phpstan/phpstan (79)
spotbugs/spotbugs (4)
secure-software-engineering/FlowDroid (1)
diffblue/cbmc (1)
facebook/infer (1)",Unable to summarize a topic,Unable to summarize a topic,Y
46,65,0.004882079015,Type Inference,"['preg_match', 'regex', 'match', 'pattern', 'group', 'capture group', 'regex pattern', 'pattern invalid', 'capture', 'delimiter']","['error regex', 'pattern regex', 'regex capture', 'pattern invalid', 'regex pattern', 'response preg_match', 'expect output', 'regex', 'match preg_match', 'problem expect']","['preg_match', 'match', 'regex', 'pattern', 'group', 'capture', 'delimiter', 'optional', 'invalid', 'today']","['preg_match', 'regex', 'regex pattern', 'pattern invalid', 'pattern regex', 'delimiter alphanumeric', 'invalid delimiter', 'backslash pattern', 'alphanumeric backslash', 'expect output']","https://github.com/phpstan/phpstan/issues/11862
https://github.com/phpstan/phpstan/issues/11490
https://github.com/phpstan/phpstan/issues/6551
https://github.com/phpstan/phpstan/issues/11479
https://github.com/phpstan/phpstan/issues/11331",23,6,23,0,1,0,,,,,,phpstan/phpstan (65),regex,Limitation in handling regex,Y
47,60,0.004506534475,Logs,"['logger', 'log', 'guardlogstatement', 'slf4j', 'logger logger', 'guard', 'rule', 'message', 'description', 'code sample']","['guardlogstatement positive', 'issue logger', 'guardlogstatement', 'logger field', 'slf4j logger', 'logger call', 'logger trace', 'logger logger', 'logging', 'log debug']","['logger', 'log', 'guardlogstatement', 'guard', 'message', 'description', 'rule', 'level', 'sample', 'demonstrate']","['logger', 'log', 'guardlogstatement', 'logger logger', 'log debug', 'slf4j logger', 'org slf4j', 'affects version', 'logger call', 'logging']","https://github.com/pmd/pmd/issues/4492
https://github.com/pmd/pmd/issues/4710
https://github.com/pmd/pmd/issues/4376
https://github.com/pmd/pmd/issues/869
https://github.com/pmd/pmd/issues/3860",9,11,15,0,4,3,,,,,,"pmd/pmd (48)
spotbugs/spotbugs (6)
phpstan/phpstan (3)
soot-oss/soot (1)
scottrogowski/code2flow (1)
facebook/infer (1)",Log related issues,Log related issues,Y
48,62,0.004656752291,Unable to summarize a topic,"['objectclosure', 'laravel', 'objectclosure objectclosure', 'objectclosure array', 'array objectclosure', 'internal error', 'internal', 'array', 'array array', 'larastan']","['laravel code', 'laravel project', 'laravel', 'error internal', 'error phpstan', 'array objectclosure', 'internal error', 'objectclosure array', 'error', 'undefined array']","['objectclosure', 'laravel', 'array', 'internal error', 'internal', 'sometimesarray', 'error', 'undefined', 'post', 'trace']","['objectclosure', 'objectclosure objectclosure', 'laravel', 'objectclosure array', 'array objectclosure', 'internal error', 'array array', 'error internal', 'phpstan type', 'laravel project']","https://github.com/phpstan/phpstan/issues/10156
https://github.com/phpstan/phpstan/issues/7956
https://github.com/phpstan/phpstan/issues/3462
https://github.com/phpstan/phpstan/issues/8690
https://github.com/phpstan/phpstan/issues/8913",51,0,13,0,0,0,,,,,,"phpstan/phpstan (61)
spotbugs/spotbugs (1)",Unable to summarize a topic,Unable to summarize a topic,Y
49,73,0.005482950278,Array Handling,"['array_map', 'map', 'ds', 'callback', 'ds map', 'service', 'callable', 'array', 'callback array_map', 'expect']","['array_map expect', 'expect array_map', 'array_map callable', 'error array_map', 'array_map accept', 'report array_map', 'pass array_map', 'array_map produce', 'array_mapfunction', 'callback array_map']","['array_map', 'callback', 'map', 'callable', 'array', 'snippet', 'reproduce', 'report', 'inference', 'problem']","['array_map', 'map', 'array', 'callback array_map', 'array_map expect', 'expect', 'expect output', 'report array_map', 'problem expect', 'arraythe']","https://github.com/phpstan/phpstan/issues/6011
https://github.com/phpstan/phpstan/issues/11664
https://github.com/phpstan/phpstan/issues/5730
https://github.com/phpstan/phpstan/issues/11297
https://github.com/phpstan/phpstan/issues/11100",25,15,26,0,1,0,,,,,,"phpstan/phpstan (68)
pmd/pmd (2)
spotbugs/spotbugs (1)
arguslab/Argus-SAF (1)
scottrogowski/code2flow (1)",Handling Array map,Limitation in handling array map,Y
50,46,0.003455009764,Class Loading,"['memory mb', 'trunk command', 'mb stack', 'version trunk', 'trunk', 'files reproduce', 'mb', 'reproduce version', 'reproduce files', 'files']","['stack trace', 'trace error', 'process dir', 'trace couldn39', 'trace attempt', 'dir memory', 'mb stack', 'trace step', 'trunk command', 'memory mb']","['trunk', 'mb', 'files', 'memory', 'trace', 'stack', 'step', 'reproduce', 'command', 'dir']","['memory mb', 'trunk command', 'mb stack', 'files reproduce', 'stack trace', 'memory', 'process dir', 'dir memory', 'trace couldn39', 'phantom']","https://github.com/soot-oss/soot/issues/1348
https://github.com/soot-oss/soot/issues/396
https://github.com/soot-oss/soot/issues/1158
https://github.com/soot-oss/soot/issues/1821
https://github.com/soot-oss/soot/issues/1747",5,15,1,0,2,1,,,,,,"soot-oss/soot (42)
diffblue/cbmc (3)
phpstan/phpstan (1)",invalid class path configuration (by user),Unable to summarize a topic,Y
51,52,0.003905663212,Unable to summarize a topic,"['doctrine', 'entity', 'repository', 'orm', 'collection', 'param', 'doctrine collection', 'tentityclass', 'arraycollection', 'property']","['doctrine entity', 'doctrine orm', 'doctrine repository', 'doctrine collection', 'symfony entity', 'doctrineeventstore', 'doctrine', 'orm entity', 'entityrepository', 'symfony']","['doctrine', 'orm', 'repository', 'collection', 'entity', 'param', 'tentityclass', 'property', 'user', 'closure']","['doctrine', 'collection', 'entity', 'doctrine collection', 'arraycollection', 'orderby', 'doctrine orm', 'objectrepository', 'symfony', 'doctrine entity']","https://github.com/phpstan/phpstan/issues/3970
https://github.com/phpstan/phpstan/issues/4297
https://github.com/phpstan/phpstan/issues/2176
https://github.com/phpstan/phpstan/issues/7958
https://github.com/phpstan/phpstan/issues/8494",35,3,15,2,0,1,,,,,,phpstan/phpstan (52),Unable to summarize a topic,Unable to summarize a topic,Y
52,57,0.004281207751,Unable to summarize a topic,"['android jar', 'process dir', 'trunk', 'version trunk', 'trunk command', 'jar', 'memory mb', 'android', 'mb stack', 'dir']","['jar memory', 'android jar', 'jar process', 'ref android', 'jar src', 'jar', 'process dir', 'force android', 'stack trace', 'memory mb']","['trunk', 'jar', 'mb', 'dir', 'files', 'phantom', 'memory', 'prec', 'stack', 'command']","['android jar', 'process dir', 'trunk command', 'memory mb', 'mb stack', 'files reproduce', 'jar', 'process', 'stack trace', 'jar process']","https://github.com/soot-oss/soot/issues/1785
https://github.com/soot-oss/soot/issues/289
https://github.com/soot-oss/soot/issues/483
https://github.com/soot-oss/soot/issues/1945
https://github.com/soot-oss/soot/issues/1971",5,8,2,0,3,1,,,,,,"soot-oss/soot (54)
phpstan/phpstan (1)
spotbugs/spotbugs (1)
soot-oss/SootUp (1)",various exceptions when handling phantom classes (Soot),Unable to summarize a topic,N
53,67,0.00503229683,Unable to summarize a topic,"['list', 'arraylist', 'rule', 'sample', 'code sample', 'sample demonstrate', 'demonstrate', 'demonstrate issue', 'version rule', 'description']","['arraylist list', 'arraylist arraylist', 'list arraylist', 'arraylist', 'usearraysaslist', 'list list', 'violation line', 'list', 'array affect', 'arrays']","['list', 'arraylist', 'rule', 'sample', 'demonstrate', 'usearraysaslist', 'description', 'affects', 'violation', 'nelems']","['list', 'arraylist', 'code sample', 'usearraysaslist', 'version rule', 'rule description', 'array', 'list arraylist', 'arrays', 'list list']","https://github.com/pmd/pmd/issues/5711
https://github.com/pmd/pmd/issues/1413
https://github.com/pmd/pmd/issues/1372
https://github.com/pmd/pmd/issues/2748
https://github.com/pmd/pmd/issues/3442",2,31,17,0,4,12,,,,,,"pmd/pmd (64)
spotbugs/spotbugs (3)",Unable to summarize a topic,Unable to summarize a topic,Y
